amfi_code,return_3yr_pct,expense_ratio_pct,sharpe_ratio,Alpha,Beta,Max Drawdown,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,Fund Score
120505,18.08,1.36,1.1801011976606495,0.2926358334175106,0.000549004250631731,-0.18188513572116294,8.0,5.0,3.0,15.0,25.0,9.0
120843,15.65,1.45,1.3067439695428413,0.27330465038306057,-0.02282956979242654,-0.1297396816518679,11.0,2.0,5.0,22.0,13.0,9.4
100033,16.58,1.38,1.093698743534631,0.2719535450128533,0.005103525830528313,-0.16217208574644848,10.0,7.0,6.0,17.0,20.0,10.5
119598,23.39,1.43,0.9453082575156093,0.3033696538698332,-0.02319606204405971,-0.2870600572176455,1.0,14.0,1.0,21.0,36.0,10.75
148567,14.81,1.46,1.4482911703262604,0.2698375144191807,0.023683558075848616,-0.11265729075028275,17.0,1.0,7.0,23.0,8.0,11.0
149324,20.08,1.52,0.949795824661604,0.3005787817097677,0.011455159960520695,-0.31171900300634214,6.0,13.0,2.0,26.5,37.0,13.125
149323,17.16,1.61,1.1321218524747252,0.26598577542043045,-0.002523004664699212,-0.17248105753451382,9.0,6.0,8.0,38.0,22.0,13.7
120504,14.41,0.8,1.0265242847993006,0.2119482701352573,0.016232169761417024,-0.12588275606922517,20.0,10.0,13.0,12.0,12.0,14.099999999999998
119094,15.18,1.38,0.9982309868636403,0.2607666908004223,-0.0662654286280376,-0.20960883862039192,15.0,11.0,9.0,17.0,28.0,14.400000000000002
148569,13.58,1.6,1.2349300257743292,0.2827036785246582,0.01813388408385925,-0.1639674294693263,23.0,3.0,4.0,36.5,21.0,16.025
118632,14.0,1.51,1.0816591793457038,0.21829397904608644,-0.008353832126962014,-0.17414075086657232,21.0,8.0,11.0,24.5,23.0,16.475
119551,12.36,1.54,1.2082665673727178,0.23201007160635082,-0.03175144113890976,-0.1501238549864533,26.0,4.0,10.0,30.5,17.0,17.075
101206,13.78,1.6,1.0272133278753697,0.21399784776051212,0.02108631625012804,-0.11291596329323073,22.0,9.0,12.0,36.5,9.0,17.625
119552,11.3,0.66,0.953279496866011,0.1986859936686296,-0.02615930751351341,-0.11803493502764295,34.0,12.0,15.0,4.0,11.0,17.900000000000002
148568,14.56,1.52,0.9262873467360141,0.20873010086942337,-0.02638771994384303,-0.1527259422823477,19.0,15.0,14.0,26.5,19.0,18.125
125497,13.38,0.92,0.7757902498211205,0.17729754927531766,0.048820404259577385,-0.15200013055606398,24.0,18.0,16.0,14.0,18.0,18.8
